tile,date,prod,err,nodata,cloud,shadow,snow,clear
10TDK,20200701,S2B_MSIL2A_20200701T185919_N0500_R013_T10TDK_20230318T102719.zip,,0.0,0.002215055689928036,0.00038742406295931336,2.196409434607052e-05,0.9957353824307152
10TDK,20200815,S2A_MSIL2A_20200815T185921_N0500_R013_T10TDK_20230420T073657.zip,,0.0,0.001409119412344352,0.001645780870003749,1.8911682442991231e-06,0.9943309743497865
10TDK,20201029,S2B_MSIL2A_20201029T190519_N0500_R013_T10TDK_20230315T101006.zip,,0.0,0.0013804201047773563,0.0,6.702034830674086e-06,0.9690491736921908
10TDK,20201128,S2B_MSIL2A_20201128T190739_N0500_R013_T10TDK_20230304T030333.zip,,0.0,0.0036070218745126925,8.908397782356395e-05,0.004042023749091741,0.8710971761872057
10TDL,20200701,S2B_MSIL2A_20200701T185919_N0500_R013_T10TDL_20230318T102719.zip,,0.0,0.00242656792777728,0.00018433913623378822,0.0009590877269816623,0.9946049946748684
10TDL,20200820,S2B_MSIL2A_20200820T185919_N0500_R013_T10TDL_20230319T202419.zip,,0.0,0.003107720279627473,0.0,6.88119813802874e-05,0.9854994508976413
10TDL,20200830,S2B_MSIL2A_20200830T185919_N0500_R013_T10TDL_20230420T232743.zip,,3.317839025086181e-08,0.00012830083510008262,7.5978513674473545e-06,0.000799731918606773,0.9853801745846895
10TDL,20201029,S2B_MSIL2A_20201029T190519_N0500_R013_T10TDL_20230315T101006.zip,,0.0,0.0021965089697778043,0.00031592463196870613,0.0009851991201090906,0.9047008470443031
10TEK,20201203,S2A_MSIL2A_20201203T190751_N0500_R013_T10TEK_20230225T124923.zip,,0.07450257298416395,1.8281293028224857e-05,8.228240782213729e-06,0.0015583226333024775,0.8548624921616053
10TEL,20191104,S2B_MSIL2A_20191104T190549_N0500_R013_T10TEL_20230610T224415.zip,,0.0,4.346369122862897e-06,0.0,0.001461209485038205,0.9434869161018046
10TEL,20200820,S2B_MSIL2A_20200820T185919_N0500_R013_T10TEL_20230319T202419.zip,,0.0,7.962813660206834e-07,0.0,0.0006242845909602158,0.9853398296621445
10TEL,20200830,S2B_MSIL2A_20200830T185919_N0500_R013_T10TEL_20230420T232743.zip,,0.0,4.644974635120653e-07,0.0,0.0005197063048894994,0.9856283821221562
