point_x,point_y,avg_year,agbref,nico_mean,nico_median,nico_p90,cci_mean,cci_median,cci_p90,nico_cov,cci_cov,common_cov,nico_mean_common,cci_mean_common
-88.1500,31.8500,2018,97.9586,126.7304,110.6568,260.8864,124.4742,130.0000,212.0000,1.0000,1.0000,1.0000,126.7724,124.7124
-110.9500,31.9500,2018,0.2995,11.6840,9.3504,22.2436,2.6785,0.0000,8.0000,1.0000,1.0000,1.0000,11.6819,2.6799
-110.8500,31.9500,2018,0.0000,4.6176,4.4178,8.8943,1.0133,0.0000,4.0000,1.0000,1.0000,1.0000,4.6159,0.9973
-110.7500,31.9500,2018,0.0000,6.9668,4.1680,17.7213,6.4419,2.0000,21.0000,1.0000,1.0000,1.0000,6.9670,6.3946
-108.5500,32.5500,2020,0.0132,13.1318,10.3733,25.7660,1.8335,0.0000,5.0000,1.0000,1.0000,1.0000,13.0909,1.8327
-108.4500,32.5500,2020,4.7712,23.7619,17.6765,45.7236,14.1989,6.0000,46.0000,1.0000,1.0000,1.0000,23.7330,14.0446
-108.5500,32.6500,2020,3.3645,19.5137,16.5118,35.5822,7.5205,4.0000,20.0000,1.0000,1.0000,1.0000,19.4348,7.4533
-108.4500,32.6500,2020,7.9605,27.9791,23.7481,50.7127,12.1538,6.0000,33.0000,1.0000,1.0000,1.0000,27.9101,12.2006
-108.5500,32.7500,2020,1.9206,27.7853,23.5860,48.0393,6.7871,4.0000,17.0000,1.0000,1.0000,1.0000,27.9460,6.8440
-108.4500,32.7500,2020,0.0393,14.3198,11.9303,25.8289,1.9986,0.0000,6.0000,1.0000,1.0000,1.0000,14.4550,1.9853
-108.7500,34.0500,2020,7.5843,38.8736,35.7098,75.5320,15.9834,11.0000,39.0000,1.0000,1.0000,1.0000,38.9865,16.0601
-108.6500,34.0500,2020,22.2374,55.3542,51.9813,92.9777,33.4014,25.0000,77.0000,1.0000,1.0000,1.0000,55.1176,33.3930
-108.5500,34.0500,2020,30.9168,57.8133,55.9538,96.8954,32.1905,26.0000,72.0000,1.0000,1.0000,1.0000,57.5399,31.7387
-108.4500,34.0500,2020,31.2605,67.3718,66.3400,125.0894,25.9932,23.0000,54.0000,1.0000,1.0000,1.0000,67.1734,26.2215
-108.7500,34.1500,2020,0.3725,7.2158,4.0781,18.2908,1.2763,0.0000,4.0000,1.0000,1.0000,1.0000,7.2838,1.3592
-108.6500,34.1500,2020,3.0708,14.3707,7.3393,34.5794,4.2041,0.0000,10.0000,1.0000,1.0000,1.0000,14.4957,4.3464
-108.5500,34.1500,2020,11.7015,34.8511,32.2590,63.1468,19.6470,15.0000,42.0000,1.0000,1.0000,1.0000,34.8427,19.5994
-108.4500,34.1500,2020,18.8022,46.6957,44.2178,81.8415,25.1147,24.0000,52.0000,1.0000,1.0000,1.0000,46.6108,25.3073
-108.7500,34.2500,2020,0.0000,5.5755,3.8977,11.8686,0.4553,0.0000,1.0000,1.0000,1.0000,1.0000,5.5478,0.4658
-108.6500,34.2500,2020,0.0005,5.6777,4.6841,10.6855,0.5507,0.0000,2.0000,1.0000,1.0000,1.0000,5.7335,0.5691
-108.5500,34.2500,2020,0.0637,16.0629,12.0402,34.8946,9.0726,6.0000,26.0000,1.0000,1.0000,1.0000,16.1819,9.0888
-108.4500,34.2500,2020,1.4488,18.4469,13.4658,40.9927,11.6340,10.0000,30.0000,1.0000,1.0000,1.0000,18.7590,11.7183
-108.7500,34.3500,2020,0.0000,7.8984,5.4653,17.2441,1.1203,0.0000,4.0000,1.0000,1.0000,1.0000,7.8681,1.1078
-108.6500,34.3500,2020,0.0255,12.1265,9.0000,24.2988,4.2420,2.0000,10.0000,1.0000,1.0000,1.0000,12.0296,4.2301
-108.5500,34.3500,2020,0.0023,10.8803,5.8153,26.6672,5.2153,0.0000,18.0000,1.0000,1.0000,1.0000,10.8513,5.2182
-108.4500,34.3500,2020,0.0002,8.3546,5.1304,19.5357,1.8520,0.0000,8.0000,1.0000,1.0000,1.0000,8.3409,1.8835
-111.5500,34.5500,2020,11.1950,36.3440,12.7593,110.4096,11.0092,4.0000,31.0000,1.0000,1.0000,1.0000,36.3332,11.0568
-111.4500,34.5500,2020,37.1339,99.7909,94.5100,186.9481,35.0612,28.0000,76.0000,1.0000,1.0000,1.0000,99.7596,35.0650
-112.8500,34.6500,2020,10.8447,21.4665,16.2260,40.8426,19.5426,18.0000,35.0000,1.0000,1.0000,1.0000,21.3944,19.4303
-112.7500,34.6500,2020,2.0350,12.7088,11.3758,19.2705,15.0822,13.0000,28.0000,1.0000,1.0000,1.0000,12.7411,15.1144
-112.6500,34.6500,2020,0.2295,12.9210,12.0053,18.9388,5.9014,5.0000,13.0000,1.0000,1.0000,1.0000,12.9286,5.9648
-111.5500,34.6500,2020,4.2383,18.1119,9.4677,29.0633,5.5234,2.0000,15.0000,1.0000,1.0000,1.0000,18.1095,5.5499
-111.4500,34.6500,2020,34.0878,62.8469,59.9144,115.8588,21.0239,18.0000,42.0000,1.0000,1.0000,1.0000,62.7081,21.0867
-112.8500,34.7500,2020,9.4145,18.8940,15.2618,34.4525,16.4313,15.0000,34.0000,1.0000,1.0000,1.0000,18.8824,16.3421
-112.7500,34.7500,2020,4.2323,14.2174,12.4358,23.1843,20.4652,21.0000,37.0000,1.0000,1.0000,1.0000,14.1989,20.3914
-112.6500,34.7500,2020,0.2467,8.6225,7.3762,15.3853,1.9278,0.0000,8.0000,1.0000,1.0000,1.0000,8.7227,1.9300
-112.8500,34.8500,2020,7.3830,22.9782,17.9046,39.4403,16.8928,14.0000,33.0000,1.0000,1.0000,1.0000,23.0603,16.8805
-112.7500,34.8500,2020,0.6722,13.1079,12.1027,19.5562,8.2368,7.0000,20.0000,1.0000,1.0000,1.0000,13.1197,8.2162
-112.6500,34.8500,2020,0.0000,5.8055,4.6998,11.0827,0.1827,0.0000,0.0000,1.0000,1.0000,1.0000,5.8426,0.2064
-108.1500,34.9500,2020,0.3854,20.7352,16.8734,42.6903,8.5386,7.0000,18.0000,1.0000,1.0000,1.0000,20.8151,8.7804
-108.0500,34.9500,2020,1.6287,28.6964,25.8532,50.9139,23.7053,22.0000,44.0000,1.0000,1.0000,1.0000,28.6362,23.5278
-107.9500,34.9500,2020,0.2653,17.5407,14.5716,34.6750,16.1757,14.0000,36.0000,1.0000,1.0000,1.0000,17.6107,16.2455
-108.1500,35.0500,2020,7.4230,55.9069,50.7873,103.4168,20.9213,17.0000,45.0000,1.0000,1.0000,1.0000,55.8237,20.7388
-108.0500,35.0500,2020,3.5998,47.1828,45.1244,75.8790,14.3354,13.0000,25.0000,1.0000,1.0000,1.0000,47.2335,14.4475
-107.9500,35.0500,2020,1.9688,33.4278,30.9762,59.0600,13.0614,11.0000,28.0000,1.0000,1.0000,1.0000,33.2282,12.9306
-108.0500,35.1500,2020,5.1972,49.8228,42.0310,98.3174,21.4377,21.0000,39.0000,1.0000,1.0000,1.0000,49.6412,21.3578
-107.9500,35.1500,2020,0.2305,18.9243,13.9589,39.2572,11.3387,9.0000,28.0000,1.0000,1.0000,1.0000,18.8450,11.2579
-111.5500,35.2500,2020,9.1590,41.7735,34.2815,85.4084,4.1870,2.0000,10.0000,1.0000,1.0000,1.0000,41.9069,4.2515
-111.4500,35.2500,2020,2.6002,26.2262,13.7609,73.0893,2.1071,1.0000,5.0000,1.0000,1.0000,1.0000,26.1871,2.1299
-111.3500,35.2500,2020,0.0092,6.3135,4.6957,13.1402,0.3690,0.0000,1.0000,1.0000,1.0000,1.0000,6.3447,0.3601
-111.5500,35.3500,2020,9.1503,41.1270,35.3784,86.0749,5.0439,3.0000,11.0000,1.0000,1.0000,1.0000,41.1976,5.1009
-111.4500,35.3500,2020,2.9326,42.2166,37.8483,79.6652,2.0406,1.0000,5.0000,1.0000,1.0000,1.0000,42.1466,2.0448
-111.3500,35.3500,2020,0.0250,8.2426,5.8137,17.6151,0.2284,0.0000,1.0000,1.0000,1.0000,1.0000,8.2587,0.2300
-111.5500,35.4500,2020,1.5230,14.8045,5.3920,48.8656,1.4991,0.0000,5.0000,1.0000,1.0000,1.0000,14.8306,1.5304
135.8500,35.5500,2020,18.0263,99.6757,111.1179,198.0546,65.7040,38.0000,187.0000,1.0000,1.0000,1.0000,99.2940,65.6639
-83.5500,35.6500,2017,227.7778,202.4470,200.6652,299.0872,192.3204,190.0000,282.0000,1.0000,1.0000,1.0000,201.8258,192.5830
-83.4500,35.6500,2017,178.6360,202.0724,205.2701,274.1828,249.2850,261.0000,324.0000,1.0000,1.0000,1.0000,201.7646,248.0768
-83.3500,35.6500,2017,180.7392,224.3631,222.7027,298.9836,246.2216,255.0000,322.0000,1.0000,1.0000,1.0000,224.8057,245.2077
-83.2500,35.6500,2017,131.7350,228.3315,225.8259,292.3819,252.4835,258.0000,324.0000,1.0000,1.0000,1.0000,228.2519,251.7483
-112.0500,35.7500,2020,0.0000,7.5554,7.1133,12.4620,1.4825,0.0000,4.0000,1.0000,1.0000,1.0000,7.5236,1.4865
-83.2500,35.7500,2017,132.0947,190.6909,188.5249,270.2513,223.3883,234.0000,304.0000,1.0000,1.0000,1.0000,191.2291,223.3443
-112.2500,35.8500,2020,0.0000,4.7352,3.9651,9.9370,1.9022,0.0000,7.0000,1.0000,1.0000,1.0000,4.7305,1.9211
-112.1500,35.8500,2020,0.0548,14.4112,10.6373,28.9996,10.3087,7.0000,26.0000,1.0000,1.0000,1.0000,14.4149,10.3242
-112.0500,35.8500,2020,2.9637,25.4925,16.8455,56.7402,11.4684,7.0000,29.0000,1.0000,1.0000,1.0000,25.4972,11.4013
-112.2500,35.9500,2020,0.2065,11.9579,9.1789,23.5767,12.2846,8.0000,33.0000,1.0000,1.0000,1.0000,12.0173,12.3744
-112.1500,35.9500,2020,4.2261,41.1747,34.9236,77.4248,12.0829,8.0000,30.0000,1.0000,1.0000,1.0000,41.1355,12.1246
-112.0500,35.9500,2020,12.9802,62.1911,58.5722,94.3245,20.5591,18.0000,38.0000,1.0000,1.0000,1.0000,62.2879,20.5288
-106.2500,36.2500,2020,0.1519,17.0224,11.5314,37.7560,9.4511,1.0000,30.0000,1.0000,1.0000,1.0000,16.9758,9.5132
-106.1500,36.2500,2020,0.0273,8.2584,5.8993,17.8528,0.6759,0.0000,2.0000,1.0000,1.0000,1.0000,8.2936,0.6761
-106.2500,36.3500,2020,12.0314,37.3170,26.7134,84.7272,19.7706,13.0000,50.0000,1.0000,1.0000,1.0000,37.5799,19.8500
-106.1500,36.3500,2020,5.1493,20.5842,13.9042,49.0218,9.2963,4.0000,33.0000,1.0000,1.0000,1.0000,20.5957,9.4430
-107.7500,36.8500,2020,0.0117,17.6278,13.5436,34.6740,4.7050,4.0000,11.0000,1.0000,1.0000,1.0000,17.6290,4.7034
-107.6500,36.8500,2020,0.2750,18.1410,12.3599,40.6578,6.3674,6.0000,14.0000,1.0000,1.0000,1.0000,17.9978,6.3640
-119.3500,36.9500,2018,37.7390,49.1138,46.2820,83.2529,27.9550,17.0000,76.0000,1.0000,1.0000,1.0000,49.4472,28.1349
